type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-15 21:58:16,40.72917936,-73.99371875,15,3.304,,5.870,214,11,24,,
T,2021-09-15 21:58:17,40.72913891,-73.99375472,15,3.834,,5.680,215,11,24,,
T,2021-09-15 21:58:18,40.72910251,-73.99380305,14,3.487,,5.430,216,11,24,,
T,2021-09-15 21:58:19,40.72906742,-73.99384286,15,4.076,,5.150,219,11,24,,
T,2021-09-15 21:58:20,40.72901727,-73.99385636,14,5.177,,4.950,220,11,24,,
T,2021-09-15 21:58:21,40.72899110,-73.99388962,14,5.599,,4.260,220,12,23,,
T,2021-09-15 21:58:22,40.72894478,-73.99388810,14,5.905,,4.160,219,12,24,,
T,2021-09-15 21:58:23,40.72891586,-73.99391437,14,6.346,,4.020,217,11,24,,
T,2021-09-15 21:58:24,40.72888432,-73.99394246,14,5.856,,3.760,215,10,24,,
T,2021-09-15 21:58:25,40.72885387,-73.99396140,14,6.486,,3.390,214,10,24,,
T,2021-09-15 21:58:26,40.72883220,-73.99397894,14,6.359,,2.480,213,12,24,,
T,2021-09-15 21:58:27,40.72881570,-73.99399340,14,5.813,,2.360,213,12,24,,
T,2021-09-15 21:58:28,40.72879487,-73.99400566,14,5.909,,2.420,212,11,24,,
T,2021-09-15 21:58:29,40.72877677,-73.99401316,14,7.121,,2.130,211,11,24,,
T,2021-09-15 21:58:30,40.72875913,-73.99401815,14,7.821,,2.080,210,10,24,,
T,2021-09-15 21:58:31,40.72874734,-73.99401728,14,8.174,,1.650,210,11,24,,
T,2021-09-15 21:58:32,40.72874097,-73.99403028,14,9.123,,1.530,211,12,24,,
T,2021-09-15 21:58:33,40.72873433,-73.99403221,13,10.531,,1.180,211,12,24,,
T,2021-09-15 21:58:34,40.72873713,-73.99402428,13,12.475,,0.000,,13,24,,
T,2021-09-15 21:58:36,40.72876078,-73.99399998,13,13.199,,0.000,,14,24,,
T,2021-09-15 21:58:39,40.72877052,-73.99399959,13,14.052,,0.000,,15,24,,
T,2021-09-15 21:58:49,40.72877185,-73.99398432,14,16.517,,0.000,,13,24,,
T,2021-09-15 21:58:52,40.72876871,-73.99397059,13,17.966,,0.000,,15,24,,
T,2021-09-15 21:58:54,40.72874505,-73.99397619,12,13.459,,0.000,,16,24,,
T,2021-09-15 21:58:55,40.72871661,-73.99398181,12,8.954,,0.000,,16,24,,
T,2021-09-15 21:58:56,40.72870137,-73.99398693,13,7.296,,0.000,,17,24,,
T,2021-09-15 21:58:58,40.72868226,-73.99399435,12,4.714,,0.000,,18,24,,
T,2021-09-15 21:58:59,40.72865714,-73.99398465,13,0.683,,2.480,150,18,24,,
T,2021-09-15 21:59:00,40.72863176,-73.99398251,13,-1.908,,1.300,147,16,24,,
T,2021-09-15 21:59:01,40.72860524,-73.99398538,13,-4.490,,1.590,157,16,24,,
T,2021-09-15 21:59:02,40.72858409,-73.99399812,12,-5.652,,0.420,181,16,24,,
T,2021-09-15 21:59:03,40.72856533,-73.99401490,12,-4.104,,0.440,208,16,24,,
T,2021-09-15 21:59:04,40.72854958,-73.99403305,12,-2.164,,0.870,199,19,24,,
T,2021-09-15 21:59:05,40.72853426,-73.99405846,12,-1.521,,2.010,222,19,24,,
T,2021-09-15 21:59:06,40.72852598,-73.99407270,12,-0.873,,0.610,208,19,24,,
